tittle,id,description,image_link,price,availability,link
Cadena con piedra de coral real / coral naranja / Collar de coral / Collar para la mujer,37,Chain with an authentic orange coral piece. It is a unique and unrepeatable piece and each of the coral stones is different. The color is natural and enhances feminine beauty. The Coral piece (unique piece) is set on the chain. Each of the pieces is different from the next one so the shape may not be exactly the one in the image.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1940076909.jpg,18.0,in stock,https://muyaya.es#!/Cadena-con-piedra-de-coral-real-coral-naranja-Collar-de-coral-Collar-para-la-mujer/p/286625518
Cadena personalizada / gargantilla personalizada / collar configurable,39,Personalized chain / personalized choker for any occasion created by hand. It is fully configurable between the colors offered: Red Yellow Black Silver. Don't lose this opportunity.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2044124577.jpg,10.0,in stock,https://muyaya.es#!/Cadena-personalizada-gargantilla-personalizada-collar-configurable/p/291081055
Collar con cruz / collar de cuentas / cruz cristiana / Plata alemana,40,This wonderful necklace is designed for men but it can be perfectly worn by a woman. All the beads are joined one by one by hand and like the pieces are hand-carved. Each necklace takes several hours to create and each one is a unique piece.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1970993469.jpg,19.0,in stock,https://muyaya.es#!/Collar-con-cruz-collar-de-cuentas-cruz-cristiana-Plata-alemana/p/291827066
Collar Configurable,70,,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2357547242.jpg,14.0,in stock,https://muyaya.es#!/Collar-Configurable/p/368149037
collar con hueso / collar con coral rojo / collar de coral rojo real,18,Amaizing necklace with bone. This unique piece created by hand from an intervened bone (a real necklace with bone). Wonderful necklace with real coral golden stones and intervened bone that creates a unique and incomparable product. Perfect for any situation.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051182475.jpg,15.0,in stock,https://muyaya.es#!/collar-con-hueso-collar-con-coral-rojo-collar-de-coral-rojo-real/p/260863033
collar de coral rojo / collar para mujer / collar de madera,16,The red coral is the sea. The beauty of coral and wood come together in this precious red coral necklace. Golden stones of coral and wood that enhance the beauty of women. Match perfectly.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2051247162.jpg,14.0,in stock,https://muyaya.es#!/collar-de-coral-rojo-collar-para-mujer-collar-de-madera/p/260847229
Collar De Hilo Azul Tejido A Mano,67,,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2115113450.jpg,15.0,in stock,https://muyaya.es#!/Collar-De-Hilo-Azul-Tejido-A-Mano/p/315855087
collar de hilo / collar de cuerda / collar para mujer,21,Maravilloso collar de hilo y madera. This necklace for women takes several hours to embroider all the thread but the end result is spectacular. This sober necklace of hand-embroidered thread and charms made of wood and coral are a perfect combination to wear with any model. The end result is a beautiful and elegant product.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2061372763.jpg,18.0,in stock,https://muyaya.es#!/collar-de-hilo-collar-de-cuerda-collar-para-mujer/p/260863135
Collar de hilo rojo / Collar con dije de cobre / collar con colgante creado a mano,20,Beautiful necklace for women made of embroidery thread wood coral and handmade flower created by hand working bronze and aging it in acid giving it an exceptional color. The combination is perfect for everyday wear.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2061380756.jpg,18.0,in stock,https://muyaya.es#!/Collar-de-hilo-rojo-Collar-con-dije-de-cobre-collar-con-colgante-creado-a-mano/p/260847611
Collar de hilos / collar de hebras / collar con colgante de madera / collar colores,17,This string necklace handcrafted thread by thread this wooden ball embroidery necklace is a perfect option to wear with a dress or shirt. Selection of colors that in addition to elegance will bring joy to any model.,https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2061431010.jpg,12.0,in stock,https://muyaya.es#!/Collar-de-hilos-collar-de-hebras-collar-con-colgante-de-madera-collar-colores/p/260862083
